"Date Modified"		;"Data modyfikacji" 
"Date Created"		;"Data utworzenia"
"Date Accessed"		;"Ostatnio używany"
"File Path"			;"Ścieżka pliku"
"File Name"			;"Nazwa pliku"
"File Size"			;"Rozmiar pliku"
"MD5 Hash"			;"MD5 Hash"
"MIME Type"			;"MIME Type"
"Page"				;"Strona"
"Bookmark"			;"Bookmark"
"Number of files"	;"Liczba plików"
"Files"				;"Pliki"    
"Tags"				;"Tagi"
"Case Information"	;"Informacje o sprawie"
"Title"				;"Tytuł"
"Case Number"		;"Numer sprawy"
"Examiner(s)"		;"Wykonał" 
"Description"		;"Opis"
"ATTENTION"			;"Uwaga" 
"It is recommended to configure the browser to offline mode, in order to avoid that HTML temporary files be visualized in external servers"	; "Zaleca się użycie przeglądarki w trybie offline, w celu uniemożliwienia wizualizacji plików tymczasowych na zewnętrznych serwerach."
"Summary"			;"Podsumowanie"
"Summary of analysis"	;"Podsumowanie"
"Help"				;"Pomoc" 
"Selected Evidences"	;"Wytypowane pliki" 
"Index"				;"Indeks"
"Deleted"			;"Usunięty"
"Yes"				;"Tak"
"No"				;"Nie"
"Exported as:"		;"Eksportowano jako:"
"not calculated"	;"nie wyliczono"
"Tagged_Files"		;"wytypowane_pliki"		; folder name to export tagged files
"Report"			;"Raport"
"Report.html"		;"Raport.html"
"Report of media analysis"	;"Wytypowane pliki"		;title of report
"Previous page"		;"Poprzednia strona"
"next page"			;"następna strona"
"Report date"		;"Raport utworzony"
"Print"				;"Drukuj"
"Checksum"			;"Suma kontrolna"
"File size"			;"Rozmiar pliku"
"Date"				;"Data"
"Exif Metadata"		;"Exif Metadata"
"Device Make"		;"Producent aparatu"
"Device Model"		;"Model aparatu"
"Generation Date"	;"Data wygenerowania"
"GPS Position"		;"Pozycja GPS"
"Google Maps"		;"Mapy Google"
"Latitude"			;"Szerokość"
"Longitude"			;"Długość"
"Altitude"			;"Wysokość n.p.m"
"Tag"				;"Tag"
"Files sorted by *sorted_by* in ascending order."	;"Pliki posortowane rosnąco wg wartości '*sorted_by*'."
"To view this report preferred browser is latest Google Chrome, Microsoft Edge or Firefox"	;"Do przeglądania raportu zalecana jest aktualna przeglądarka Google Chrome, Microsoft Edge lub Firefox."
"CAT-0: Uncategorized"	;"Niesklasyfikowane"
"Child Exploitation (Illegal)"	;"Pornografia - nieletni"
"Child Exploitation (Non-Illegal/Age Difficult)"	;"Pornografia - legalne lub trudno oszacować wiek"
"CGI/Animation (Child Exploitive)"	;"Pornografia - animacje (nieletni)"
"Exemplar/Comparison (Internal Use Only)"	; "Przykład/Porównanie (na użytek wew.)"
"Non-pertinent"	;"Nie dotyczy"
"Number of Object to Display per page"	; "Liczba objektów na strone"
"Report language"	;"Język raportu"
"Report Number To Appear on Case Info"	;"Numer raportu lub sprawy"
"Examiner(s) To Appear on Case Info"	;"Wykonujący badanie"
"Description To Appear on Case Info"	;"Opis"
"Tags to Select for Report:"	;"Wybierz tagi do raportu:"
"Sort files by:"	;"Sortuj pliki wg:"
"Menu's items:"	; "Pozycje menu:"
"Case information: start page with informations about the case, like case number, forensic examiner, etc."	;"Informacje o sprawie: strona z informacjami o sprawie, takimi jak numer sprawy, wykonujący badanie, etc."
"Help: this help page."	;"Pomoc: ta strona pomocy"
"Images (for example): page(s) containing name, link and others metadata of selected files for each evidence category (tag)."	; "Pliki graficzne , wideo i inne: strona zawiera podglad pliku, nazwy, linki i inne dane wytypowanych plików dla kazdej kategorii (tag)."
"Storage and visualization of files"	;"Zapisane pliki i ich podgląd"
"Not all of the evidence files exported to this optical media can be opened up in the browser application. In this case, it can be needed the instalation of the proper application"	;"Nie wszystkie typy plików mogą być wyświetlone w przegladarce internetowej. W takim może być konieczne użycie lub zainstalowanie odpowiedniego oprogramowania."
"All of the evidence files were exported to report folder *report_dir*/*tagged_files*."	;"Wszystkie pliki przedstawione w raporcie zostały zapisane w folderze *report_dir*/*tagged_files*."
"CAT-0: Uncategorized"	;"Niesklasyfikowane"
"Child Abuse Material - (CAM)"	;"Materiały o charakterze pedofilskim"
"Child Exploitive (Non-CAM) Age Difficult"	;"Pedofilia? - trudno oszacować wiek"
"CGI/Animation - Child Exploitive"	;"Pornografia - animacje (nieletni)"
"Comparison Images"	; "Obrazy do porównania"
"Non-Pertinent"	;"Nie dotyczy"
"Image information";"Źródła danych"
"Source name";"Nazwa źródła"
"Tag name";"Nazwa grupy"
"Tagged files count";"Liczba wytypowanych plików"
"Autopsy version";"Wersja Autopsy"

